 PEER Ground Motion Database, Time Series Search Report -- NGA-West2 -- 2020-09-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.24,1.521,4.27992966,12.72401048,1.43962455,3.65782901,3.63882995,1.12638574,2.7777757,2.00759117,0.80406895,2.90201298,1.22291849,3.64656209,0.79808021,4.93542707,0.88906836,5.49054547,2.75963919,2.33226896,12.43996161,3.71001905,3.15088517,2.54590307,1.20788016,1.72446986,1.5835787,0.89004083,2.19676451,0.66353754,1.80050423,2.23843639,1.35241907,1.19263993,0.95470191,1.40903009,3.78366821,1.01961845,0.97505063,1.99971327,3.86995354,5.40738319,1.01346451,1.51830456,1.92062113,2.18001559,1.7589961,1.42544179,1.85514348,1.20726263,0.74858786,1.31474349,0.93649885,0.74267726,0.77341787,5.12092969,1.67471941,0.87004663,0.40856934,0.87069787,0.52926632,2.53865691,1.35748325,5.35551311,8.9364057,10.28081506,5.55249223,6.21890329,6.95524355,12.48512155,7.85096725,13.74964606,12.64891548,6.71235823,9.06226103,4.47502333,3.05664972,3.98510202,6.7819646,34.25675896,16.55180119,2.20501484,2.04047168,3.20137722,4.80158946,4.89764975,4.3400003,6.84677853,3.57419487,3.47137046,4.72400978,14.1606438,5.2592805,5.90700567,7.40711957,6.52592432,10.84873898,15.32365204,4.91339964,2.76494932,2.84717197,1.62803135,2.26528319,2.98081779,4.27184086,0.55619005,0.3754934,0.88682303,0.07550246,0.42006627,0.40777346,0.30215293,0.09494097,0.26581664,0.35393372,0.54988435,0.43606648,0.34165708,0.97711758,1.2651658,0.64594386,1.61572691,1.01474291,0.97141866,0.57225142,0.73081618,0.61300824,2.27030981,0.10284178,0.5305305,0.42523268,0.31413781,0.31465649,0.13229052,0.15621732,0.29585463,0.19710446,0.37064874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.25,1.521,4.13768191,11.71501714,1.4614073,3.71576131,4.08128645,1.09040525,2.97709248,2.00457352,1.01619789,2.75669511,1.29145974,3.70717273,0.75801357,5.13130783,0.94607808,5.39172011,2.44014039,2.84126034,11.44525021,3.84334612,2.79129769,2.52152667,1.32172719,1.4992168,1.34543921,0.88324535,2.15391167,0.78703192,1.75187936,2.18430439,1.35466499,1.21134773,0.95635872,1.47013728,4.39841959,1.06113769,0.94923463,2.16785278,3.39303013,5.58131307,1.0000217,1.69875241,2.20488742,2.14064418,1.79929322,1.47747591,2.05993939,1.06308291,0.75809239,1.32581875,0.89497163,0.81502595,0.86426727,4.483642,1.6909711,1.05509013,0.43061058,0.83948676,0.56059648,2.65499501,1.21551478,4.8936167,9.19063462,8.45121819,5.18037975,6.39856251,6.62593018,9.73416601,6.0088363,14.38943631,13.15587927,6.81298284,9.05219224,4.05113613,2.74898629,2.98434989,6.80327037,31.37019119,16.27730027,2.16013669,2.3830813,3.1520505,4.54366612,4.61418595,4.63828813,6.51062453,3.99129167,3.90261017,5.06892894,12.56776216,4.83682177,5.55444064,6.13569038,7.04467965,9.08524588,14.04946674,5.65293148,3.08062996,3.23546287,1.68339416,2.24120448,2.57012814,4.68238137,0.49705571,0.36671733,0.90011127,0.0777101,0.38401101,0.41479604,0.32137645,0.10765432,0.28879414,0.35831268,0.54631165,0.43620598,0.34648947,0.921813,1.34457822,0.60315352,1.77282101,0.96069354,0.92542383,0.63186377,0.74054367,0.74761157,2.17606901,0.1080821,0.54038389,0.4501124,0.35748121,0.29669648,0.12339913,0.15048359,0.29180002,0.19464765,0.33056629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.26,1.521,4.01574709,10.78410327,1.49537002,4.32568216,4.13991883,1.07381246,3.26010319,1.99087201,1.14156162,3.13444346,1.42401113,3.58477907,0.71653732,5.10362437,1.02233369,4.71441762,2.8145435,2.82538268,10.79356023,3.95588072,2.98312887,2.35866898,1.42460388,1.68803434,1.30215095,0.84431516,1.87596811,0.9371074,1.76461089,2.59907167,1.49875333,1.18482238,1.04372777,1.47400741,4.87959779,1.0956713,0.89370657,2.05777714,3.11664912,6.19163886,0.84430565,1.77204057,2.31634139,2.34051906,1.81943847,1.37885376,2.1876349,0.98574586,0.87571206,1.29539002,0.9484509,0.83049434,0.93491938,3.8272937,1.68873167,1.19222129,0.40762907,0.91670506,0.61491877,2.80545679,1.20020282,4.2140698,8.8880065,7.35181883,4.62455057,5.44134641,6.63133312,8.18699415,4.33936151,15.37208226,15.98637205,7.29486532,8.55643405,3.25831031,3.04123218,2.94892065,6.51491678,27.37164079,15.07749847,2.03908959,2.61365375,3.47088771,4.84094162,4.17388362,4.98992869,5.44630737,4.5159555,4.56874287,4.74940583,11.32808129,4.40476258,5.46379649,5.64162415,6.59053421,8.03546064,11.82722563,5.8124031,3.36033143,3.24589242,1.4925614,1.96236163,2.54352761,4.93911496,0.52493001,0.3304334,0.83945565,0.0815346,0.41205942,0.42059397,0.33385069,0.12581388,0.25576229,0.35795026,0.57324041,0.53454966,0.33876087,0.90651479,1.45544521,0.52789924,1.97476097,0.96087187,1.00895937,0.68313553,0.78969759,0.83026201,2.18322031,0.12476606,0.50238047,0.45572266,0.370286,0.28385325,0.12256374,0.17961977,0.28176123,0.19104513,0.30392418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.28,1.521,3.88944584,10.40894708,1.45334478,3.70501422,4.12137136,1.24786016,3.64382934,2.04061092,1.14134671,3.52206845,1.41622016,3.24816263,0.73833208,4.91149993,1.07325878,2.87096466,3.05118095,2.75802413,10.07103646,4.55094817,3.05368066,1.78409973,1.52946465,1.78738237,1.34472003,0.75544515,1.3220767,1.12008296,1.98701751,2.06716061,1.45566282,1.17695997,1.17662783,1.372224,6.15806777,1.03221776,1.11461329,2.10159763,3.5309674,5.51753287,0.82309109,1.66331668,2.39540869,2.35023186,1.64140463,1.39827584,2.34228394,1.13852299,0.99026416,1.32658435,1.23005337,1.17276115,0.79490152,3.32471536,1.63006201,1.23598371,0.47320526,0.92230169,0.62271607,2.81082023,1.33515017,5.09380377,7.45425946,5.45407911,5.22426214,4.59118538,4.01268299,8.28378008,4.36910154,13.03529528,23.27392958,7.83534752,6.28685221,2.75375264,3.5332152,2.99422325,4.71769084,21.15939776,16.10639232,1.65612516,3.17396255,3.56396139,3.67457175,4.52220676,5.82615079,4.99790005,4.89822396,5.08420911,5.21710079,8.58856973,3.50759685,5.24378784,5.31211237,4.43761484,11.11824404,11.80475583,5.40365294,3.58449554,3.37217887,1.41467078,1.77600815,2.29148218,5.17436482,0.50798935,0.26942992,0.71666965,0.06535481,0.37070353,0.42804734,0.31701149,0.13198088,0.22198349,0.42938596,0.62810133,0.65492504,0.32971368,0.97699455,1.69097506,0.45106981,2.09754583,1.10835523,1.0694148,0.64598633,1.04922454,0.74014907,2.11767546,0.13609048,0.49960226,0.36135273,0.35239668,0.29028193,0.14198258,0.20750173,0.32047685,0.20105855,0.30366475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.29,1.521,3.7912215,10.37284974,1.38567133,3.46467575,4.62510474,1.43037088,3.23513728,1.88257485,1.18794548,2.98180909,1.28281517,3.0717939,0.81646614,4.58414329,1.07460292,3.47005348,2.83381985,2.58557938,9.16255905,4.48379835,2.58441737,1.86849697,1.52393498,1.74195736,1.43745919,0.75399703,1.44729267,1.13614584,1.9546869,1.96931684,1.43941076,1.20425869,1.25793929,1.20456771,6.51427767,1.05786653,1.23608467,1.9094492,3.53604494,5.02807765,0.85259709,1.5681605,2.13793738,2.34127792,1.36713003,1.3490773,2.36497143,1.0909328,1.06345182,1.45807254,1.20043036,1.23252611,0.75826791,3.63114315,1.58445753,1.21124936,0.44248446,0.98806184,0.75140328,2.80495912,1.41916937,5.16563824,6.90384761,4.97487237,6.21252769,4.76140724,3.78159975,7.74560715,4.20971209,12.05279343,25.76531092,7.64266523,4.84879911,2.79855727,3.61700226,2.73004446,4.50972999,18.88293352,16.94854743,1.6276046,3.35359018,2.84424184,3.52374171,4.61447172,5.1874637,6.04884274,4.62625368,4.6368198,5.3577712,7.91714781,3.62446805,4.8120037,4.79887565,3.69125242,11.69294764,10.09780423,4.99711796,3.29502731,3.3774737,1.50522969,1.6205255,2.39094621,5.33224017,0.49745886,0.26567826,0.66043698,0.05316189,0.32842184,0.4259718,0.28400376,0.14320123,0.22877132,0.50329603,0.60754607,0.71202673,0.31105411,1.04793894,1.78052904,0.46684752,2.17981979,1.09153644,1.05003964,0.60203131,1.22757557,0.63573755,2.04221705,0.12913167,0.54815662,0.35187054,0.36282526,0.29094136,0.15581031,0.19572562,0.3538325,0.19647951,0.33890729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.3,1.521,3.66938918,9.89445979,1.36080365,3.45130959,5.16175002,1.4560427,2.74336003,1.78308859,1.22125625,2.60196753,1.19399217,2.82105957,0.87171401,4.35575629,1.13046742,3.77858607,3.00528061,2.45632286,8.45238858,3.92787542,2.29110485,2.02040055,1.43412194,1.54474151,1.4690867,0.82702494,1.64348784,1.0728051,1.8727646,2.06618536,1.33812704,1.31934892,1.31150985,1.10450253,6.90915999,1.16487133,1.29249267,1.6179698,3.48514397,4.48564033,0.79667028,1.40342987,2.25187469,2.19667223,1.46098932,1.34254578,2.43331267,1.10128885,1.08288987,1.49092905,1.12722507,1.31854267,0.80175248,3.87924885,1.49509876,1.23742204,0.45897036,1.0888515,0.90786315,2.56924726,1.44555334,5.16634476,6.33915631,4.6843534,6.7473563,4.55763284,3.3717328,6.8723326,4.44860972,11.10055877,25.13303459,7.10921253,4.47324521,2.36536208,3.49477812,2.48589472,4.12595029,16.81866887,17.04810553,1.6606534,3.36203627,2.65881348,3.67819758,4.87144744,4.85439574,7.02544891,4.0328528,3.93274149,5.22253475,7.56854557,4.43939361,5.46647728,4.19469409,3.44812816,11.69458545,8.40829058,4.53063403,2.98401548,3.08224382,1.60824084,1.59139428,2.63480156,5.07293674,0.55046011,0.26465929,0.65518101,0.04611071,0.30482386,0.43459744,0.26332111,0.1534672,0.25358566,0.56664863,0.58797064,0.75454264,0.29765266,1.07658371,1.78063584,0.46353008,2.19445298,1.02364176,1.00010816,0.62432135,1.34212013,0.54179764,1.90929049,0.13014769,0.59489745,0.35612224,0.3448618,0.27216376,0.1603526,0.16950267,0.3829277,0.18878081,0.34340675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.32,1.521,3.47724013,8.55440767,1.41344666,4.49951852,5.28222624,1.50288022,2.55363946,1.74482521,1.17087207,3.20600341,1.19876809,2.18351089,0.85070103,3.87524029,1.10673175,4.16572568,3.11688109,1.99015089,6.77432941,2.81559677,2.13608293,2.16830954,1.33285809,1.59695019,1.38331285,0.92325845,1.62209399,0.76430507,1.56956508,2.16428541,1.18832086,1.5805454,1.26507674,0.9664007,7.18341737,1.33156832,1.32996947,1.41486338,2.83841006,3.88390213,0.78204526,1.02433476,2.41069416,1.80580467,1.4302301,1.36143496,2.47152614,1.15204205,1.00434782,1.56374557,1.30571912,1.21683504,0.97303077,3.35860938,1.32349607,1.09528941,0.52995973,1.26133302,1.04152452,1.83137145,1.60983196,6.40122758,6.17954035,5.30360693,6.36990489,5.73454435,3.03659864,6.55262298,3.28350947,9.83897528,20.00627276,6.25485701,3.71917481,2.80975372,3.35435306,2.80145613,3.53574601,14.7416284,14.59056338,1.87998971,3.10220789,2.70370991,3.46314639,5.33331964,4.1981557,8.86872796,3.47014388,3.57096106,6.69012697,5.65150946,5.12995272,6.32261734,3.6218962,2.64535589,8.28665038,9.58389367,4.27076182,2.58587628,3.10196237,1.59905228,1.77092283,3.41664828,4.7077854,0.62524265,0.23182459,0.57790742,0.04243793,0.31805152,0.44547639,0.22430992,0.15931169,0.30097365,0.60928635,0.64632093,0.71783948,0.27302663,1.05901215,1.63134225,0.46007361,2.67986454,1.02002203,0.9992025,0.67021894,1.20138712,0.64706157,1.66166185,0.13471842,0.58075361,0.40510468,0.33468423,0.23400862,0.14531236,0.12877083,0.43328349,0.16731516,0.33151188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.34,1.521,3.31444871,7.91816086,1.38738912,5.52026936,4.48944525,1.38128565,3.37967184,1.49216389,0.89365082,3.40581593,1.25306091,1.72589676,0.70303827,3.47227786,0.84966698,4.19360074,2.40146662,2.27389262,6.67128959,2.79541133,1.88088585,1.89580479,1.33355016,1.66545362,1.46419006,1.04183765,2.07297362,0.71221073,1.54133939,2.67940524,1.29969515,1.78084205,1.09417173,0.98110281,7.32798109,1.5855924,1.36500124,1.42313111,2.47248008,4.49635255,0.88035893,1.08515778,2.29577575,1.31840985,1.64893178,1.17850567,2.39050824,1.1588741,1.00409665,1.80071844,1.18395987,0.94251807,0.83223587,3.33010695,1.3939239,1.11067231,0.62736483,1.46907647,0.97705574,1.62720298,1.73611822,6.24542624,5.65153854,5.11907766,5.39969332,5.21503577,2.96277608,6.03798594,2.76187407,10.00240536,16.58932535,5.22147123,3.0510791,3.10921927,2.98362932,2.68760388,3.23283946,13.63147653,13.91793058,1.85864502,2.47764464,2.59267509,3.80919448,5.08717705,2.77617375,8.69488013,3.11874377,3.62660181,6.80053776,4.35231445,4.5845283,5.77007925,3.37906627,1.94855784,9.83577302,9.12215087,3.9301638,2.38723966,3.29137888,1.84888304,1.62575142,2.91627912,4.78256536,0.72375092,0.23403286,0.59392387,0.04481341,0.35087457,0.47567493,0.2440454,0.15309283,0.31195697,0.54387315,0.63231695,0.59437602,0.3158256,1.09454914,1.43932989,0.46311857,3.33480529,1.10117024,0.95537476,0.5612511,1.02272793,0.67575008,1.55078628,0.13777256,0.56325676,0.34236483,0.34103112,0.25616786,0.1317879,0.11417184,0.36576438,0.1426153,0.33220244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.35,1.521,3.2344168,7.54467447,1.38660085,5.24817607,4.05793298,1.21476566,3.68068442,1.51234674,0.90141864,3.21655471,1.27993021,1.75378578,0.74249134,3.22370263,0.79284712,4.148065,2.22411372,2.08796235,7.16564365,2.98103087,1.76014199,1.98864328,1.31584371,1.64426365,1.46037161,1.01928115,2.31472978,0.71579058,1.5352505,2.69459229,1.28593627,1.86239347,1.01312726,1.03538379,6.807757,1.70192438,1.49621474,1.53303094,2.2138627,4.07604152,0.97099751,1.1950938,2.0975001,1.17720948,1.75722761,1.23732304,2.60736383,1.23095789,0.9225172,1.89829496,1.14278472,0.86400926,0.78721407,3.32196023,1.47439337,1.17125178,0.63279238,1.66227605,0.90432331,1.52050282,1.68071235,5.65109065,5.12187913,4.50145581,4.51668503,4.94407916,2.64448163,5.60102232,2.83657956,10.24153813,15.40627906,5.16865133,3.29081708,3.18464572,2.63259304,2.77841242,3.50845813,12.66657126,12.42009347,2.08442698,2.28872101,2.37507238,4.04788889,4.5195385,2.78869483,7.95344437,3.10625333,3.57437562,6.15652548,4.41213058,4.23816064,5.76590418,3.21859536,1.85652737,10.88439652,9.73673947,4.32417099,2.42426046,3.40703837,1.88728986,1.51506679,2.9962466,4.80214023,0.74244685,0.24605835,0.61830052,0.04650949,0.37420539,0.50053284,0.24857639,0.14094509,0.2997761,0.4864078,0.63729288,0.57395449,0.35878126,1.18739416,1.33661032,0.45033349,3.42365169,1.06428939,0.9421688,0.53963636,0.97235142,0.6795607,1.4659476,0.13945395,0.58342729,0.3163567,0.33201468,0.26934713,0.14211554,0.10799045,0.33966948,0.13300526,0.33047035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.36,1.521,3.14216102,7.12639326,1.38543798,4.45705604,3.67614001,1.16795838,3.84272072,1.55019261,0.89556062,2.94757906,1.30181682,1.76602727,0.86382374,3.05180598,0.85031164,3.96701307,1.99680079,2.13933936,6.89195305,3.13877997,1.77823267,2.078655,1.35624482,1.56588542,1.5211294,0.96103357,2.35737642,0.71223886,1.44953234,2.70389181,1.40849577,2.06865111,1.2358449,1.09501196,6.73832126,1.75513481,1.67121411,1.58210613,2.04434141,3.45288832,1.01015881,1.22079136,1.90969819,1.1881584,1.79813649,1.27899192,2.74350502,1.14885061,0.81756374,1.99424941,1.05658213,0.79327324,0.76772811,3.18914932,1.53581681,1.270252,0.56635582,1.7251737,0.82086773,1.41381826,1.67968146,4.98909434,5.02081634,3.86848629,3.93972808,4.59015544,2.50413442,5.11728554,2.65730051,10.29920647,13.633086,5.3597715,3.45046373,3.05251268,2.51229452,2.85398519,3.57219804,11.63388801,11.00535186,2.46872737,2.3000901,2.13325008,3.96945617,3.92793727,2.58559028,7.13925155,2.84560511,3.17897064,6.1745476,4.00209507,4.14175732,6.12107063,3.36541783,2.12186617,11.50786015,10.16939619,4.49876575,2.59707066,3.42336375,1.71045196,1.44226117,3.35590837,5.00572005,0.71148613,0.25062733,0.65024601,0.04720211,0.37850624,0.52107244,0.25209162,0.12186559,0.29983499,0.52056782,0.64114504,0.53094796,0.39706613,1.21726585,1.23521077,0.43104835,3.33303184,1.08535325,0.95398818,0.4948495,0.88858603,0.68051956,1.37852525,0.14352791,0.60449318,0.32172937,0.32603871,0.26552865,0.15017627,0.10577293,0.34000876,0.13614302,0.2962513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.38,1.521,2.99473224,6.43209612,1.39432326,4.43397621,4.39702934,1.15480929,4.08661777,1.52046004,0.89147156,2.73094979,1.24342058,1.75273967,1.00343543,2.76772295,0.88348385,3.75250783,1.81199364,2.30335758,5.93658161,3.44362595,1.8943433,2.05349308,1.43362529,1.50729447,1.43771006,0.91194072,2.83266389,0.77785435,1.44328417,2.83302952,1.63659647,2.57480672,1.33256468,1.20313635,6.28844353,1.89479157,1.74369866,1.77216793,1.85361268,2.95479668,0.88426253,1.17980003,1.69242685,1.21278127,1.53731533,1.13188082,2.71527138,1.19790298,0.71014855,2.15347289,1.25096416,0.89541713,0.74773,3.11730299,1.66237871,1.42711018,0.5908724,1.78431462,1.03545704,1.20854647,1.55871833,3.84401636,5.02081634,3.35011007,3.32139385,4.71871226,2.12971045,4.21715096,2.94061998,10.03616842,10.66492599,6.22322426,3.48800695,2.37328706,2.36747234,3.02854051,2.89980164,9.88328933,10.61917385,3.00544915,2.59169974,2.01173717,3.42754662,3.6264963,2.46297897,6.17639458,2.54755891,2.96112783,6.06854955,3.16454816,3.52611516,6.79068336,2.98682172,2.32781999,11.55314395,7.89999634,3.88559021,2.24141923,3.47103043,1.47475957,1.60510048,4.19405572,4.1580688,0.52311256,0.22390808,0.63087024,0.04765839,0.37896223,0.57163579,0.25962354,0.10348633,0.29063763,0.6554447,0.62731334,0.45598274,0.37129488,1.18693657,1.0806647,0.38932437,3.35352043,0.98523242,0.93595766,0.41353,0.72656408,0.64858364,1.37021481,0.18690994,0.58847161,0.33186838,0.32794482,0.21303662,0.156314,0.10121848,0.37153482,0.12766929,0.31372499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.4,1.521,2.88064326,5.7857615,1.43422877,4.88966423,4.46661795,1.18174711,3.98897386,1.51940941,1.06256546,2.67427138,1.24290942,1.93604251,1.04806334,2.42719546,0.9651833,3.79120916,1.6873061,2.24619858,6.1942896,3.8185188,1.86797887,2.12539585,1.7356235,1.54463406,1.25907592,0.89095571,2.83371223,0.78203606,1.75450869,2.70159914,1.80136433,2.09938387,1.23222331,1.33018838,4.89462646,2.17815155,1.42934477,1.50248381,1.97098583,3.02551878,0.77293735,1.1945259,1.93111439,1.40071268,1.27076981,1.38278074,2.59474588,1.24464915,0.84035753,2.12573388,1.60435672,0.81118979,0.85119983,3.20885748,1.97056906,1.44613533,0.51531641,1.50777916,1.10676487,1.30998707,1.53717373,4.25652177,4.99585508,3.33030871,2.82635165,4.59407557,2.01338254,3.75656691,3.70068941,9.21487104,8.09468996,7.22565558,3.38981177,2.09781679,2.26821874,3.44187979,2.84425658,8.86176021,9.35505093,3.09640479,2.35227613,2.29232018,3.1063048,3.38814846,2.35761228,6.1240394,2.5722088,2.97878367,4.88011,3.25422079,3.21529871,6.32805133,2.98247733,2.4558182,10.0049465,6.72114675,3.24931762,2.06062659,3.33436049,1.20251266,1.55563835,3.31676829,4.23955733,0.54207813,0.22136468,0.54638869,0.04600748,0.37050038,0.56571393,0.25332843,0.09251324,0.26409744,0.71461041,0.58216557,0.48779242,0.36256665,1.31946689,1.04040922,0.37867594,3.21247145,0.86620105,0.80134263,0.42832401,0.61159463,0.63680416,1.21373293,0.21601929,0.48301088,0.33999907,0.34648397,0.19467257,0.14112423,0.10945431,0.39043838,0.11069419,0.35303593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
